Module name: , class: CogVideoXTransformer3DModel, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/transformers/cogvideox_transformer_3d.py
Module name: patch_embed, class: CogVideoXPatchEmbed, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/embeddings.py
Module name: patch_embed.proj, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: patch_embed.text_proj, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: embedding_dropout, class: Dropout, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/dropout.py
Module name: time_proj, class: Timesteps, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/embeddings.py
Module name: time_embedding, class: TimestepEmbedding, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/embeddings.py
Module name: time_embedding.linear_1, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: time_embedding.act, class: SiLU, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/activation.py
Module name: time_embedding.linear_2, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: ofs_proj, class: Timesteps, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/embeddings.py
Module name: ofs_embedding, class: TimestepEmbedding, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/embeddings.py
Module name: ofs_embedding.linear_1, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: ofs_embedding.linear_2, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks, class: ModuleList, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/container.py
Module name: transformer_blocks.0, class: CogVideoXBlock, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/transformers/cogvideox_transformer_3d.py
Module name: transformer_blocks.0.norm1, class: CogVideoXLayerNormZero, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/normalization.py
Module name: transformer_blocks.0.norm1.silu, class: SiLU, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/activation.py
Module name: transformer_blocks.0.norm1.linear, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.0.norm1.norm, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.0.attn1, class: Attention, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/attention_processor.py
Module name: transformer_blocks.0.attn1.norm_q, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.0.attn1.norm_k, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.0.attn1.to_q, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.0.attn1.to_k, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.0.attn1.to_v, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.0.attn1.to_out, class: ModuleList, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/container.py
Module name: transformer_blocks.0.attn1.to_out.0, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.0.attn1.to_out.1, class: Dropout, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/dropout.py
Module name: transformer_blocks.0.norm2, class: CogVideoXLayerNormZero, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/normalization.py
Module name: transformer_blocks.0.norm2.silu, class: SiLU, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/activation.py
Module name: transformer_blocks.0.norm2.linear, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.0.norm2.norm, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.0.ff, class: FeedForward, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/attention.py
Module name: transformer_blocks.0.ff.net, class: ModuleList, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/container.py
Module name: transformer_blocks.0.ff.net.0, class: GELU, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/activations.py
Module name: transformer_blocks.0.ff.net.0.proj, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.0.ff.net.1, class: Dropout, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/dropout.py
Module name: transformer_blocks.0.ff.net.2, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.0.ff.net.3, class: Dropout, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/dropout.py
Module name: transformer_blocks.1, class: CogVideoXBlock, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/transformers/cogvideox_transformer_3d.py
Module name: transformer_blocks.1.norm1, class: CogVideoXLayerNormZero, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/normalization.py
Module name: transformer_blocks.1.norm1.silu, class: SiLU, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/activation.py
Module name: transformer_blocks.1.norm1.linear, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.1.norm1.norm, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.1.attn1, class: Attention, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/attention_processor.py
Module name: transformer_blocks.1.attn1.norm_q, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.1.attn1.norm_k, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.1.attn1.to_q, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.1.attn1.to_k, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.1.attn1.to_v, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.1.attn1.to_out, class: ModuleList, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/container.py
Module name: transformer_blocks.1.attn1.to_out.0, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.1.attn1.to_out.1, class: Dropout, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/dropout.py
Module name: transformer_blocks.1.norm2, class: CogVideoXLayerNormZero, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/normalization.py
Module name: transformer_blocks.1.norm2.silu, class: SiLU, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/activation.py
Module name: transformer_blocks.1.norm2.linear, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.1.norm2.norm, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.1.ff, class: FeedForward, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/attention.py
Module name: transformer_blocks.1.ff.net, class: ModuleList, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/container.py
Module name: transformer_blocks.1.ff.net.0, class: GELU, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/activations.py
Module name: transformer_blocks.1.ff.net.0.proj, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.1.ff.net.1, class: Dropout, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/dropout.py
Module name: transformer_blocks.1.ff.net.2, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.1.ff.net.3, class: Dropout, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/dropout.py
Module name: transformer_blocks.2, class: CogVideoXBlock, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/transformers/cogvideox_transformer_3d.py
Module name: transformer_blocks.2.norm1, class: CogVideoXLayerNormZero, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/normalization.py
Module name: transformer_blocks.2.norm1.silu, class: SiLU, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/activation.py
Module name: transformer_blocks.2.norm1.linear, class: Linear, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/linear.py
Module name: transformer_blocks.2.norm1.norm, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.2.attn1, class: Attention, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/diffusers/models/attention_processor.py
Module name: transformer_blocks.2.attn1.norm_q, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
Module name: transformer_blocks.2.attn1.norm_k, class: LayerNorm, file: /home/zihao/miniconda3/envs/cogvideo/lib/python3.11/site-packages/torch/nn/modules/normalization.py
